date,away,home,actual_winner,v3_picked,v3_pick_prob,v3_home_prob,v3_away_prob,v3_correct,v3_picked_was_dog,v4_picked,v4_pick_prob,v4_home_prob,v4_away_prob,v4_correct,v4_picked_was_dog,disagreement
2025-04-08,CHW,CLE,CLE,CLE,0.5507,0.5507,0.4968,1,0,CLE,0.5706,0.5706,0.4766,1,0,0
2025-04-08,MIA,NYM,NYM,MIA,0.5273,0.5203,0.5273,0,0,MIA,0.5386,0.5089,0.5386,0,0,0
2025-04-08,STL,PIT,STL,PIT,0.5274,0.5274,0.5202,0,0,PIT,0.5526,0.5526,0.4949,0,0,0
2025-04-08,LAD,WAS,WAS,LAD,0.53,0.5176,0.53,0,0,LAD,0.5566,0.4909,0.5566,0,0,0
2025-04-08,TOR,BOS,TOR,BOS,0.5274,0.5274,0.5202,0,0,BOS,0.5365,0.5365,0.5111,0,0,0
2025-04-08,LAA,TBR,LAA,TBR,0.5524,0.5524,0.4951,0,0,TBR,0.5447,0.5447,0.5028,0,0,0
2025-04-08,PHI,ATL,ATL,PHI,0.5343,0.5133,0.5343,0,0,ATL,0.5392,0.5392,0.5084,1,1,1
2025-04-08,TEX,CHC,CHC,CHC,0.5307,0.5307,0.5169,1,0,CHC,0.5502,0.5502,0.4973,1,0,0
2025-04-08,MIN,KCR,KCR,KCR,0.5451,0.5451,0.5025,1,0,KCR,0.57,0.57,0.4772,1,0,0
2025-04-08,MIL,COL,MIL,MIL,0.5368,0.5108,0.5368,1,0,MIL,0.5241,0.5235,0.5241,1,0,0
2025-04-08,BAL,ARI,ARI,ARI,0.5425,0.5425,0.5051,1,0,ARI,0.5382,0.5382,0.5094,1,0,0
2025-04-08,HOU,SEA,HOU,SEA,0.5464,0.5464,0.5011,0,0,SEA,0.5602,0.5602,0.4872,0,0,0
2025-04-08,CIN,SFG,CIN,SFG,0.5395,0.5395,0.5081,0,0,SFG,0.5351,0.5351,0.5124,0,0,0
2025-04-08,SDP,OAK,OAK,SDP,0.5247,0.5229,0.5247,0,0,SDP,0.5478,0.4997,0.5478,0,0,0
2025-04-09,STL,PIT,PIT,PIT,0.5283,0.5283,0.5193,1,0,PIT,0.5534,0.5534,0.494,1,0,0
2025-04-09,MIA,NYM,MIA,MIA,0.5245,0.5231,0.5245,1,0,MIA,0.5359,0.5117,0.5359,1,0,0
2025-04-09,NYY,DET,NYY,NYY,0.5418,0.5057,0.5418,1,0,NYY,0.5714,0.4757,0.5714,1,0,0
2025-04-09,TEX,CHC,TEX,CHC,0.5306,0.5306,0.517,0,0,CHC,0.5501,0.5501,0.4974,0,0,0
2025-04-09,SDP,OAK,SDP,SDP,0.525,0.5226,0.525,1,0,SDP,0.5481,0.4995,0.5481,1,0,0
2025-04-09,BAL,ARI,ARI,ARI,0.543,0.543,0.5046,1,0,ARI,0.5386,0.5386,0.5089,1,0,0
2025-04-09,CIN,SFG,SFG,SFG,0.5432,0.5432,0.5043,1,0,SFG,0.5389,0.5389,0.5087,1,0,0
2025-04-09,LAD,WAS,LAD,LAD,0.531,0.5166,0.531,1,0,LAD,0.5575,0.4899,0.5575,1,0,0
2025-04-09,HOU,SEA,SEA,SEA,0.5479,0.5479,0.4997,1,0,SEA,0.5617,0.5617,0.4857,1,0,0
2025-04-09,CHW,CLE,CLE,CLE,0.5516,0.5516,0.4959,1,0,CLE,0.5715,0.5715,0.4757,1,0,0
2025-04-09,TOR,BOS,TOR,BOS,0.5281,0.5281,0.5195,0,0,BOS,0.5371,0.5371,0.5105,0,0,0
2025-04-09,LAA,TBR,TBR,TBR,0.5536,0.5536,0.4939,1,0,TBR,0.5459,0.5459,0.5016,1,0,0
2025-04-09,PHI,ATL,PHI,PHI,0.5354,0.5122,0.5354,1,0,ATL,0.5382,0.5382,0.5094,0,1,1
2025-04-09,MIN,KCR,MIN,KCR,0.5459,0.5459,0.5017,0,0,KCR,0.5708,0.5708,0.4763,0,0,0
2025-04-09,MIL,COL,MIL,MIL,0.5391,0.5085,0.5391,1,0,MIL,0.5265,0.5212,0.5265,1,0,0
2025-04-10,LAA,TBR,LAA,TBR,0.5538,0.5538,0.4937,0,0,TBR,0.5461,0.5461,0.5014,0,0,0
2025-04-10,CHW,CLE,CLE,CLE,0.5522,0.5522,0.4952,1,0,CLE,0.5721,0.5721,0.475,1,0,0
2025-04-10,MIN,KCR,KCR,KCR,0.5451,0.5451,0.5025,1,0,KCR,0.5701,0.5701,0.4771,1,0,0
2025-04-10,MIL,COL,COL,MIL,0.5417,0.5059,0.5417,0,0,MIL,0.529,0.5186,0.529,0,0,0
2025-04-10,TOR,BOS,BOS,BOS,0.5269,0.5269,0.5207,1,0,BOS,0.536,0.536,0.5116,1,0,0
2025-04-10,PHI,ATL,ATL,PHI,0.5336,0.514,0.5336,0,0,ATL,0.54,0.54,0.5076,1,1,1
2025-04-11,KCR,CLE,CLE,CLE,0.5476,0.5476,0.4999,1,0,CLE,0.5426,0.5426,0.505,1,0,0
2025-04-11,PIT,CIN,CIN,CIN,0.53,0.53,0.5176,1,0,CIN,0.5243,0.5243,0.5233,1,0,0
2025-04-11,ATL,TBR,TBR,TBR,0.5308,0.5308,0.5168,1,0,ATL,0.5466,0.5009,0.5466,0,1,1
2025-04-11,SFG,NYY,SFG,NYY,0.5356,0.5356,0.512,0,0,NYY,0.5532,0.5532,0.4943,0,0,0
2025-04-11,WAS,MIA,WAS,MIA,0.5269,0.5269,0.5208,0,0,MIA,0.5449,0.5449,0.5027,0,0,0
2025-04-11,BOS,CHW,CHW,BOS,0.534,0.5136,0.534,0,0,BOS,0.5396,0.508,0.5396,0,0,0
2025-04-11,LAA,HOU,HOU,HOU,0.5576,0.5576,0.4898,1,0,HOU,0.5652,0.5652,0.4821,1,0,0
2025-04-11,DET,MIN,DET,MIN,0.5391,0.5391,0.5085,0,0,MIN,0.5583,0.5583,0.4891,0,0,0
2025-04-11,PHI,STL,STL,PHI,0.5292,0.5184,0.5292,0,0,PHI,0.5339,0.5137,0.5339,0,0,0
2025-04-11,COL,SDP,SDP,SDP,0.5594,0.5594,0.488,1,0,SDP,0.5828,0.5828,0.4642,1,0,0
2025-04-11,TEX,SEA,SEA,SEA,0.5419,0.5419,0.5056,1,0,SEA,0.5708,0.5708,0.4764,1,0,0
2025-04-11,MIL,ARI,MIL,ARI,0.5238,0.5238,0.5238,0,0,MIL,0.5264,0.5212,0.5264,1,1,1
2025-04-11,NYM,OAK,NYM,OAK,0.5415,0.5415,0.5061,0,0,OAK,0.5361,0.5361,0.5115,0,0,0
2025-04-11,CHC,LAD,LAD,LAD,0.5303,0.5303,0.5173,1,0,LAD,0.5496,0.5496,0.4979,1,0,0
2025-04-12,DET,MIN,DET,MIN,0.5392,0.5392,0.5083,0,0,MIN,0.5585,0.5585,0.4889,0,0,0
